sku;brand;image;title;description;price;category
87100;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/c4b64c81-5870-4746-a065-eeff8da45240/87100_default.jpg;"RF R2S-1X10 Prime subkasse 10""";Rockford Fosgate R2S-1X10 / 25 cm (10”) Sealed Subwoofer System / 200/400 Watts RMS/MAX. / 2 Ω / 34,3 x 48,3 x 13,5 / 8,4 cm;1499;ICE-RF-hjt
80855;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/6a9e77a2-8954-4f57-9c42-2eb7c382cf40/80855_default.png;RF RFIT-20 dual twist signalkabel;Rockford Fosgate RFIT-20 / 6,0 m Premium Dual Twist Stereo RCA Cable;219;ICE-RF-mon
80869;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/6a9e77a2-8954-4f57-9c42-2eb7c382cf40/80855_default.png;RF RFIT-10;Rockford Fosgate RFIT-10 / 3,0 m Premium Dual Twist Stereo RCA Cable;219;ICE-RF-mon
80876;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/6e67e3e8-14c6-49b0-bad5-96785ffcb62e/80876_default.png;RF RFI-10;Rockford Fosgate RFI-10 / 3,0 m Twisted Stereo RCA Cable;109;ICE-RF-mon
80882;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/54cdecc8-8f52-46e9-9251-a8037a42a95e/80882_default.png;RF RFIV-3 videokabel 1 mtr.;Rockford Fosgate RFIV-3 / 0,9 m Premium Dual Twist Video RCA Cable;109;ICE-RF-mon
80898;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/79fe26a3-f83a-419c-9798-fe5ecb73dfae/80898_default.png;RF RFITY-1F splitkabel (1-F til 2-M);Rockford Fosgate RFITY-1F / Premium Dual Twist RCA Y-Adapter 1F/2M;109;ICE-RF-mon
80964;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/6cc2b9ab-4c89-46d0-ba1c-a77fe4453428/80964_default.jpg;RF RFFA200 sikringer (2 stk.) ANL 200amp;Rockford Fosgate RFFA200 / Platinum plated 200 A ANL sikring / 2 stk.;109;ICE-RF-mon
80998;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/96f69824-2d16-47e0-8720-63418fd61539/80998_default.png;RF RFK8X  8 AWG;Rockford Fosgate RFK8X / 8 AWG Complete Installation Kit / 100% Pure Crystal-Oxygen Free Copper / 1 x 8,3 mm² Power Wire (red), 5,2 m / 1 x 8,3 mm² Ground Wire (transparent silver), 0,9 m / 1 x 6,1 m RCA Cablel / 1 x 9,1 m Speaker Wire / 1 x 40A AGU sikring inkl. sikringsholder / 1 x Remote Wire (blue), 6,1 m;749;ICE-RF-mon
80999;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/c38a90eb-d8e3-4e15-a433-d84aaa9b6382/80999_default.png;RF RFK4X kabelkit;Rockford Fosgate RFK4X / 4 AWG Complete Installation Kit / 100% Pure Crystal-Oxygen Free Copper / 1 x 21,1 mm² Power Wire (red), 5,2 m / 1 x 21,1 mm² Ground Wire (transparent silver), 0,9 m  1 x 6,1 m RCA Cablel / 1 x 9,1 m Speaker Wire / 1 x 60A ANL sikring inkl. sikringsholder / 1 x Remote Wire (blue), 6,1 m;1079;ICE-RF-mon
81006;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/8d7bc5d7-12b9-47a4-a39a-e7293ad939bc/81006_default.png;RF RFK20;Rockford Fosgate RFK20 / 20 mm2 Forstærker Eco Installation Kit / 1 x 20 mm² Power Wire (red), 5 m / 1 x 20 mm² Ground Wire (silvergrey), 0.8 m / 1 x 5 m double shielded RCA Cable (black) / 1 x 0,5 mm² Remote Wire 5 m / 1 x AFS Acrylic sikringsholder med 60A Mini ANL sikring / Installationstilbehør;429;ICE-RF-mon
81010;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/8e63e37b-5479-4581-b72a-85c9f4af586c/81010_default.jpg;RF RFK1 kabelkit;Rockford Fosgate RFK1 / 10 mm2 Forstærker Eco Installation Kit / 1 x 10 mm² Power Wire (red), 5 m / 1 x 10 mm² Ground Wire (silvergrey), 0.8 m / 1 x 5 m double shielded RCA Cable (black) / 1 x 0,5 mm² Remote Wire 5 m / 1 x AFS Acrylic sikringsholder med 40A Mini ANL sikring / Installationstilbehør;2359;ICE-RF-mon
81205;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/879aeae2-57ea-4cbc-990c-2ed116341259/81205_default.png;RF RFCB100;Rockford Fosgate RFCB100 / 140 A Circuit Breaker / Til kabler med tværsnit på 53.5 mm² eller 21.1 mm²;429;ICE-RF-mon
81206;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/879aeae2-57ea-4cbc-990c-2ed116341259/81205_default.png;RF RFCB140;Rockford Fosgate RFCB140 / 140 A Circuit Breaker / Til kabler med tværsnit på 53.5 mm² eller 21.1 mm²;429;ICE-RF-mon
85120;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/1d99d484-6dbd-45a4-a381-ac5b1b34bf52/85120_default.png;RF P400X4 Punch 4-kanals forstærker;Rockford Fosgate P400X4 / Class-ab 4-Channel Forstærker / 4 x 50/100 Watts/RMS @ 4/2 Ω / 2 x 200 Watts/RMS @ 4 Ω bridged / Dimensions: 197 x 61 x 280 mm;3539;ICE-RF-amp
85162;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/6f6cfea9-c57c-4fe7-b71a-9a0575578818/85162_default.png;RF P600x4;Rockford Fosgate P600x4 / Class-ab 4-Channel Forstærker / 4 x 75/150 Watts/RMS @ 4/2 Ω / 2 x 300 Watts/RMS @ 4 Ω bridged / Dimensions: 197 x 61 x 337 mm;4609;ICE-RF-amp
85205;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/7450ebee-d8fa-4777-8908-21913f82bf58/85205_default.jpg;RF PBR300X1 Punch BRT forstærker;Rockford Fosgate PBR300X1 / Class-brt Mono Forstærker / 1 x 75/150/300 Watts/RMS @ 4/2/1 Ω / Low-Pass 35Hz-250Hz @ 12dB/oct / Infrasonic 12dB/oct, -3dB @ 28Hz / Frequency Response 20Hz-250Hz +/-3db / Dimensions: 108 x 39 x 172 mm;2249;ICE-RF-amp
85217;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/6c5bd689-b0d6-479c-b802-d20f723ac8d0/85217_default.png;RF T400X4 AD;Rockford Fosgate T400X4AD / Class-ad 4-Channel Forstærker / 4 x 100/100 Watts/RMS @ 4/2 Ω / 2 x 200 Watts/RMS @ 4 Ω bridged / Dimensions: 108 x 41 x 211 mm;4289;ICE-RF-amp
85301;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/04380003-4ed9-4d4f-8176-99dbf564ac91/85301_default.png;RF T500-1BDCP;Rockford Fosgate T500-1BDCP / Class-bdCP Mono Forstærker / 1 x 300 Watts/RMS @ 4 Ω / 1 x 500 Watts/RMS @ 2 Ω / 1 x 500 Watts/RMS @ 1 Ω / Dimensions: 207 x 54 x 290 mm;5039;ICE-RF-amp
85335;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/0ce9df64-91f5-4626-93ab-2396edee5245/85335_default.png;RF T1000-1BDCP Power forstærker;Rockford Fosgate T1000-1BDCP / Class-bdCP Mono Forstærker / 1 x 700 Watts/RMS @ 4 Ω / 1 x 1000 Watts/RMS @ 2 Ω / 1 x 1000 Watts/RMS @ 1 Ω / Dimensions: 207 x 54 x 347 mm;6219;ICE-RF-amp
85390;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/9259910e-3220-4e75-81fe-a4d9af7099de/85390_default.png;RF T600-4 Power forstærker;Rockford Fosgate T600-4 / Class-ab 4-Channel Forstærker / 4 x 100/150 Watts/RMS @ 4/2 Ω / 2 x 300 Watts/RMS @ 4 Ω bridged / Dimensions: 207 x 54 x 379 mm;5469;ICE-RF-amp
86116;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/023e2f5f-3f5d-48ce-87d3-78bdb1d4cdbd/86116_default.png;RF P165-SE;Rockford Fosgate P165-SE / 16,5 cm (6.5”) Component System / External Crossovers / 60/120 Watts RMS/MAX./  SPL 88 dB / 43 Hz - 20 kHz / ‡ 57 mm / Ø 141 mm;1399;ICE-RF-hjt
86120;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/0410087d-e26d-46c0-b235-5eae84698864/86120_default.jpg;RF P152-S Punch højt. split-sæt;Rockford Fosgate P152-S / 13 cm (5.25”) Component System / 50/100 Watts RMS/MAX. / SPL 87 dB / 70 Hz - 22 kHz / ‡ 47 mm / Ø 122 mm;1289;ICE-RF-hjt
86348;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/41570e10-1dca-4d29-acfe-7088f89baffb/86348_default.jpg;"RF P132 coaxial 3"" højttalersæt 2-vejs";Rockford Fosgate P132 / 8,8 cm (3”) Coaxial / 20/40 Watts RMS/MAX. / SPL 85 dB / 120 Hz - 22 kHz / ‡ 35 mm / Ø 81 mm;539;ICE-RF-hjt
86358;rockford-fosgate;https://resources.chainbox.io/3/sec/public/pim/b172477c-1b3c-426b-9489-0d683efee007/86358_default.png;RF P1683;"Rockford Fosgate P1683 / 6 x 8"" Triaxial / 65/130 Watts RMS/MAX. / SPL 90 dB / 65 Hz - 24 kHz / ‡ 58 mm / Ø 130 x 189 mm";859;ICE-RF-hjt
